"","Site","Overal_Indep","Dep","Spec_Indep","Estimate","Lower","Upper","P_val"
"36","PuyallupHill","eFFP_DD.5.sp","TotGrowth","DD.5.sp2","-1.94818600985857e-05","-0.000100492846008812","6.15291258116401e-05","0.637911537036464"
"37","PuyallupHill","MSP","TotGrowth","MSP","0.0797603966553075","-0.193444158501726","0.352964951812341","0.567416390387383"
"38","PuyallupHill","MSP","TotGrowth","MSP2","4.38973466349437e-05","-0.00215862933408561","0.00224642402735549","0.968856188562883"
"39","PuyallupHill","MSP_DD.5.sp","TotGrowth","MSP","0.338689635590306","-0.109872466644004","0.787251737824617","0.139695917621058"
"40","PuyallupHill","MSP_DD.5.sp","TotGrowth","MSP2","-0.00158305071886848","-0.00479254100256758","0.00162643956483062","0.334498540949142"
"41","PuyallupHill","MSP_DD.5.sp","TotGrowth","DD.5.sp","-0.0971508506150922","-0.474348980901128","0.280047279670944","0.614238741564432"
"42","PuyallupHill","MSP_DD.5.sp","TotGrowth","DD.5.sp2","9.13507248840329e-06","-8.08750403136363e-05","9.91451852904429e-05","0.842559488179642"
"43","Starker","Dist","TotGrowth","Dist","-0.0212967965518499","-0.0626731956394746","0.0200796025357747","0.313151552912842"
"44","Starker","Dist_MSP","TotGrowth","Dist","0.0188088932970794","-0.0450952835070941","0.0827130701012529","0.564289733379928"
"45","Starker","Dist_MSP","TotGrowth","MSP","0.117553289675742","-0.0297809291931676","0.264887508544651","0.118235959571497"
"46","Starker","Dist_MSP","TotGrowth","MSP2","-0.000487872694264955","-0.00144193392344889","0.000466188534918985","0.316600567373851"
"47","Starker","Slope","TotGrowth","Slope","-0.436021772765976","-6.8118683639002","5.93982481836825","0.893409823908967"
"48","Starker","Slope","TotGrowth","Slope2","0.00778734357536591","-0.142109926746237","0.157684613896969","0.918924150429031"
"49","Starker","Aspect_MSP","TotGrowth","Aspect","0.00508798756864493","-0.0340351267355656","0.0442111018728554","0.798990899692879"
"50","Starker","Aspect_MSP","TotGrowth","Aspect2","8.58431619328836e-06","-9.91759956967073e-05","0.000116344628083284","0.876043886657533"
"51","Starker","Aspect_MSP","TotGrowth","MSP","0.0853647995082237","-0.0207607736559821","0.191490372672429","0.115378432312055"
"52","Starker","Aspect_MSP","TotGrowth","MSP2","-0.000381006928166418","-0.00123431493432651","0.000472301077993676","0.382002335967089"
"53","Starker","eFFP_MSP","TotGrowth","eFFP","-0.0302998983643963","-0.105940476818796","0.0453406800900035","0.432859673167019"
"54","Starker","eFFP_MSP","TotGrowth","eFFP2","5.82620770150199e-06","-2.74789910921673e-05","3.91314064951713e-05","0.73194703374115"
"55","Starker","eFFP_MSP","TotGrowth","MSP","0.13411781542836","-0.109732105635505","0.377967736492225","0.281577752528785"
"56","Starker","eFFP_MSP","TotGrowth","MSP2","-0.000216712118491188","-0.00217431266699701","0.00174088843001464","0.828388452145482"
"57","Starker","MSP","TotGrowth","MSP","0.0873632217386905","-0.0184138941053698","0.193140337582751","0.105750502904671"
"58","Starker","MSP","TotGrowth","MSP2","-0.000334203048925675","-0.00113281036250129","0.000464404264649939","0.412297281044722"
"59","Starker","DD.5.sp","TotGrowth","DD.5.sp","0.0688767076806046","-0.0534630444510159","0.191216459812225","0.270077424149321"
"60","Starker","DD.5.sp","TotGrowth","DD.5.sp2","-1.53116285074589e-05","-4.61201368419354e-05","1.54968798270177e-05","0.330240556951096"
"61","Sprague","Dist","TotGrowth","Dist","0.0309279876025323","0.00879277377229293","0.0530632014327716","0.00627023093503903"
"62","Sprague","Dist_DD.5.sp","TotGrowth","Dist","0.0355968302517582","0.011913071321803","0.0592805891817134","0.00332007635811221"
"63","Sprague","Dist_DD.5.sp","TotGrowth","DD.5.sp","0.0290548787419956","-0.0333930540444703","0.0915028115284614","0.362414598524167"
"64","Sprague","Dist_DD.5.sp","TotGrowth","DD.5.sp2","-9.39443276715403e-06","-2.6747967943267e-05","7.95910240895895e-06","0.289306412945261"
